jlpt,kanji
n2,薄
n2,群
n2,秒
n2,奥
n2,詰
n2,双
n2,刺
n2,純
n2,翌
n2,快
n2,片
n2,敬
n2,悩
n2,泉
n2,皮
n2,漁
n2,荒
n2,貯
n2,硬
n2,埋
n2,柱
n2,祭
n2,袋
n2,筆
n2,訓
n2,浴
n2,童
n2,宝
n2,封
n2,胸
n2,砂
n2,塩
n2,賢
n2,腕
n2,兆
n2,床
n2,毛
n2,緑
n2,尊
n2,祝
n2,柔
n2,殿
n2,濃
n2,液
n2,衣
n2,肩
n2,零
n2,幼
n2,荷
n2,泊
n2,黄
n2,甘
n2,臣
n2,浅
n2,掃
n2,雲
n2,掘
n2,捨
n2,軟
n2,沈
n2,凍
n2,乳
n2,恋
n2,紅
n2,郊
n2,腰
n2,炭
n2,踊
n2,冊
n2,勇
n2,械
n2,菜
n2,珍
n2,卵
n2,湖
n2,喫
n2,干
n2,虫
n2,刷
n2,湯
n2,溶
n2,鉱
n2,涙
n2,匹
n2,孫
n2,鋭
n2,枝
n2,塗
n2,軒
n2,毒
n2,叫
n2,拝
n2,氷
n2,乾
n2,棒
n2,祈
n2,拾
n2,粉
n2,糸
n2,綿
n2,汗
n2,銅
n2,湿
n2,瓶
n2,咲
n2,召
n2,缶
n2,隻
n2,脂
n2,蒸
n2,肌
n2,耕
n2,鈍
n2,泥
n2,隅
n2,灯
n2,辛
n2,磨
n2,麦
n2,姓
n2,筒
n2,鼻
n2,粒
n2,詞
n2,胃
n2,畳
n2,机
n2,膚
n2,濯
n2,塔
n2,沸
n2,灰
n2,菓
n2,帽
n2,枯
n2,涼
n2,舟
n2,貝
n2,符
n2,憎
n2,皿
n2,肯
n2,燥
n2,畜
n2,挟
n2,曇
n2,滴
n2,伺
n1,氏
n1,統
n1,保
n1,第
n1,結
n1,派
n1,案
n1,策
n1,基
n1,価
n1,提
n1,挙
n1,応
n1,企
n1,検
n1,藤
n1,沢
n1,裁
n1,証
n1,援
n1,施
n1,井
n1,護
n1,展
n1,態
n1,鮮
n1,視
n1,条
n1,幹
n1,独
n1,宮
n1,率
n1,衛
n1,張
n1,監
n1,環
n1,審
n1,義
n1,訴
n1,株
n1,姿
n1,閣
n1,衆
n1,評
n1,影
n1,松
n1,撃
n1,佐
n1,核
n1,整
n1,融
n1,製
n1,票
n1,渉
n1,響
n1,推
n1,請
n1,器
n1,士
n1,討
n1,攻
n1,崎
n1,督
n1,授
n1,催
n1,及
n1,憲
n1,離
n1,激
n1,摘
n1,系
n1,批
n1,郎
n1,健
n1,盟
n1,従
n1,修
n1,隊
n1,織
n1,拡
n1,故
n1,振
n1,弁
n1,就
n1,異
n1,献
n1,厳
n1,維
n1,浜
n1,遺
n1,塁
n1,邦
n1,素
n1,遣
n1,抗
n1,模
n1,雄
n1,益
n1,緊
n1,標
n1,宣
n1,昭
n1,廃
n1,伊
n1,江
n1,僚
n1,吉
n1,盛
n1,皇
n1,臨
n1,踏
n1,壊
n1,債
n1,興
n1,源
n1,儀
n1,創
n1,障
n1,継
n1,筋
n1,闘
n1,葬
n1,避
n1,司
n1,康
n1,善
n1,逮
n1,迫
n1,惑
n1,崩
n1,紀
n1,聴
n1,脱
n1,級
n1,博
n1,締
n1,救
n1,執
n1,房
n1,撤
n1,削
n1,密
n1,措
n1,志
n1,載
n1,陣
n1,我
n1,為
n1,抑
n1,幕
n1,染
n1,奈
n1,傷
n1,択
n1,秀
n1,徴
n1,弾
n1,償
n1,功
n1,拠
n1,秘
n1,拒
n1,刑
n1,塚
n1,致
n1,繰
n1,尾
n1,描
n1,鈴
n1,盤
n1,項
n1,喪
n1,伴
n1,養
n1,懸
n1,街
n1,契
n1,掲
n1,躍
n1,棄
n1,邸
n1,縮
n1,還
n1,属
n1,慮
n1,枠
n1,恵
n1,露
n1,沖
n1,緩
n1,節
n1,需
n1,射
n1,購
n1,揮
n1,充
n1,貢
n1,鹿
n1,却
n1,端
n1,賃
n1,獲
n1,郡
n1,併
n1,徹
n1,貴
n1,衝
n1,焦
n1,奪
n1,災
n1,浦
n1,析
n1,譲
n1,称
n1,納
n1,樹
n1,挑
n1,誘
n1,紛
n1,至
n1,宗
n1,促
n1,慎
n1,控
n1,智
n1,握
n1,宙
n1,俊
n1,銭
n1,渋
n1,銃
n1,操
n1,携
n1,診
n1,託
n1,撮
n1,誕
n1,侵
n1,括
n1,謝
n1,駆
n1,透
n1,津
n1,壁
n1,稲
n1,仮
n1,裂
n1,敏
n1,是
n1,排
n1,裕
n1,堅
n1,訳
n1,芝
